mjd_left,mjd_right,'mjd weighted by mjd_n'
0.0,11.209,4.0
11.209,22.418,18.0
22.418,33.626,180.0
33.626,44.835,182.0
44.835,56.044,156.0
56.044,67.253,202.0
67.253,78.462,30.0
78.462,89.67,44.0
89.67,100.879,8.0
100.879,112.088,30.0
112.088,123.297,14.0
123.297,134.505,18.0
134.505,145.714,42.0
145.714,156.923,40.0
156.923,168.132,44.0
168.132,179.341,28.0
179.341,190.549,32.0
190.549,201.758,74.0
201.758,212.967,112.0
212.967,224.176,62.0
224.176,235.385,84.0
235.385,246.593,76.0
246.593,257.802,208.0
257.802,269.011,58.0
269.011,280.22,22.0
280.22,291.429,68.0
291.429,302.637,100.0
302.637,313.846,146.0
313.846,325.055,158.0
325.055,336.264,104.0
336.264,347.473,96.0
347.473,358.681,102.0
358.681,369.89,100.0
369.89,381.099,60.0
381.099,392.308,70.0
392.308,403.516,126.0
403.516,414.725,98.0
414.725,425.934,8.0
425.934,437.143,18.0
437.143,448.352,34.0
448.352,459.56,30.0
459.56,470.769,54.0
470.769,481.978,12.0
481.978,493.187,36.0
493.187,504.396,6.0
504.396,515.604,22.0
515.604,526.813,6.0
526.813,538.022,32.0
538.022,549.231,18.0
549.231,560.44,20.0
560.44,571.648,0.0
571.648,582.857,6.0
582.857,594.066,24.0
594.066,605.275,18.0
605.275,616.484,0.0
616.484,627.692,12.0
627.692,638.901,0.0
638.901,650.11,2.0
650.11,661.319,8.0
661.319,672.527,12.0
672.527,683.736,2.0
683.736,694.945,2.0
694.945,706.154,0.0
706.154,717.363,6.0
717.363,728.571,0.0
728.571,739.78,2.0
739.78,750.989,8.0
750.989,762.198,2.0
762.198,773.407,0.0
773.407,784.615,0.0
784.615,795.824,0.0
795.824,807.033,0.0
807.033,818.242,2.0
818.242,829.451,6.0
829.451,840.659,2.0
840.659,851.868,4.0
851.868,863.077,0.0
863.077,874.286,2.0
874.286,885.495,0.0
885.495,896.703,0.0
896.703,907.912,4.0
907.912,919.121,2.0
919.121,930.33,0.0
930.33,941.538,2.0
941.538,952.747,0.0
952.747,963.956,2.0
963.956,975.165,2.0
975.165,986.374,0.0
986.374,997.582,0.0
997.582,1008.791,2.0
1008.791,1020.0,4.0
